player,avg_acs,avg_kda,avg_adr,avg_kast,avg_hs,avg_fk,avg_fd,avg_rating,n_games,cluster,pc1,pc2
Flashback,223.75,1.5088129673356947,144.0681818181818,66.04545454545455,24.59090909090909,1.8181818181818181,1.7727272727272727,1.0452272727272727,44,0,2.011790457685533,1.9821089193499153
Flex1n,187.5,1.4338293650793652,122.75,74.875,29.625,1.25,1.5,0.85875,8,1,-0.09526398129440912,0.5544899082253478
Flickless,172.76923076923077,1.880122655122655,115.88461538461539,73.96153846153847,28.576923076923077,0.5769230769230769,0.6538461538461539,0.9107692307692308,26,1,-0.9309555481798193,-1.6656015103194937
HYUNMIN,210.97727272727272,1.5001459399186672,140.20454545454547,67.36363636363636,39.86363636363637,1.2045454545454546,1.0,1.0027272727272727,44,0,0.9123032512987332,0.5364987724692433
Jemkin,214.64285714285714,1.4430839002267573,134.28571428571428,62.07142857142857,33.42857142857143,1.6428571428571428,1.2857142857142858,0.9757142857142858,14,0,0.7697066128588179,1.9014092780115515
Jieni7,194.4,1.2532051282051282,120.9,66.1,24.6,1.4,1.0,0.826,10,1,-0.7272749106570994,1.4466153921428078
Jinggg,225.0625,1.5284102182539683,146.09375,73.59375,23.40625,1.34375,1.46875,1.0434375,32,0,2.09801502831187,0.45270674534974426
JonahP,174.79166666666666,1.6332861582861584,108.08333333333333,70.91666666666667,19.5,0.9166666666666666,1.1666666666666667,0.9241666666666667,24,1,-0.9684854317525492,-0.16940511429145344
Knight,206.2,1.7,143.6,71.0,26.0,0.8,0.9,1.098,10,2,1.2805559520251717,-0.755804073272206
Kushy,184.57142857142858,1.4948696145124718,120.07142857142857,65.64285714285714,41.42857142857143,0.7142857142857143,1.2142857142857142,0.9335714285714286,14,1,-0.831607813162848,0.5872818460517543
Levius,187.3,1.2203968253968254,117.8,61.0,27.4,1.2,0.9,0.8870000000000001,10,1,-1.1649476653152062,1.6335997770191577
MaKo,171.20454545454547,2.0475878919060735,107.47727272727273,72.54545454545455,26.863636363636363,0.8181818181818182,0.9545454545454546,1.016590909090909,44,1,-0.564853705853163,-1.5340134391628053
Meteor,220.91666666666666,1.2307692307692308,144.0,68.33333333333333,35.083333333333336,2.0833333333333335,0.9166666666666666,1.0291666666666666,12,0,1.7986231298938908,1.3615682499996073
MiniBoo,204.16666666666666,1.3293259980759982,134.33333333333334,65.75,26.791666666666668,2.0,1.8333333333333333,0.9120833333333334,24,0,0.8549084516735885,2.6490407207659525
Monyet,173.71428571428572,2.165391156462585,109.14285714285714,68.0,30.785714285714285,0.5,0.8571428571428571,0.9407142857142857,14,1,-1.175628977400959,-1.3582280924092287
N4RRATE,199.41666666666666,2.174170274170274,126.91666666666667,71.08333333333333,26.583333333333332,0.6666666666666666,1.0833333333333333,1.0275,12,2,0.548005248253066,-1.3357146197954954
Nicc,171.25,1.3126488095238096,116.875,74.875,33.125,0.25,0.75,0.8325,8,1,-1.6162998917087001,-0.84795462327775
NoMan,226.64285714285714,1.5724206349206349,145.64285714285714,74.21428571428571,32.92857142857143,1.1428571428571428,1.1428571428571428,1.105,14,2,2.1745243311298483,-0.3456929495098764
PatMen,153.6875,1.2944225045787545,102.03125,67.09375,30.78125,0.4375,0.6875,0.8175,32,1,-2.7825227689966296,0.0030948730984329135
Rarga,207.78571428571428,1.329004329004329,129.21428571428572,73.21428571428571,34.642857142857146,1.9285714285714286,1.1428571428571428,0.9578571428571429,14,0,1.0787858032352888,0.8452709314743042
RieNs,231.5,2.0694083694083694,150.375,73.66666666666667,39.208333333333336,0.75,0.5,1.1937499999999999,24,2,2.4997042583749853,-2.2183207462873886
Smoggy,206.6,1.6339141414141416,130.9,76.8,26.4,1.1,0.5,1.1019999999999999,10,2,1.2615100697231838,-1.6293974386151748
SpiritZ1,236.75,1.3880248223998224,150.25,75.5,31.0,2.625,1.375,1.01875,8,0,3.188219132987857,1.3376629681158947
Verno,191.86666666666667,2.1258333333333335,127.56666666666666,77.9,28.5,1.0666666666666667,0.6333333333333333,1.063,30,2,1.008818503104785,-2.371663728516501
Viva,166.0,1.548922902494331,115.92857142857143,71.78571428571429,33.07142857142857,0.7142857142857143,0.7857142857142857,0.9814285714285714,14,1,-0.9232589139628482,-0.8568122170576599
Wo0t,204.0,1.349786556036556,130.70833333333334,69.45833333333333,31.083333333333332,1.4166666666666667,1.25,0.9895833333333334,24,0,0.6912711542638095,0.9341522307742721
Zellsis,150.33333333333334,1.4215939153439152,96.33333333333333,68.25,18.833333333333332,1.4166666666666667,1.1666666666666667,0.7691666666666667,12,1,-2.317568772301543,0.9875100380425205
ZmjjKK,223.2,1.4963320013320014,138.1,59.8,27.7,2.5,2.3,0.985,10,0,1.8512545375277538,3.8679632122485246
ara,196.3846153846154,1.2957417582417583,129.34615384615384,66.46153846153847,31.884615384615383,1.8461538461538463,1.5384615384615385,0.9230769230769231,26,0,0.4250712469982532,2.087905173591115
artzin,208.7,1.9837289562289562,133.5,74.13333333333334,26.033333333333335,1.3666666666666667,1.6666666666666667,1.0376666666666667,30,2,1.6692803742864903,-0.1867194772881306
aspas,255.46666666666667,2.1858874458874458,164.16666666666666,80.03333333333333,30.3,2.2333333333333334,0.7666666666666667,1.3256666666666668,30,2,5.31700435150303,-1.893183853242107
bang,145.08333333333334,1.8554563492063494,93.5,67.66666666666667,34.416666666666664,0.5833333333333334,0.9166666666666666,0.8058333333333333,12,1,-2.821081047014354,-0.6200950672027962
benjyfishy,181.91666666666666,1.3231210918710918,120.04166666666667,71.75,28.708333333333332,0.6666666666666666,0.7083333333333334,0.9283333333333333,24,1,-0.8408852371787189,-0.41915064049886597
brawk,227.08823529411765,2.5131504116798236,147.7058823529412,75.97058823529412,18.264705882352942,0.7647058823529411,0.6764705882352942,1.2064705882352942,34,2,2.7641451331695825,-2.9660274107942697
coconut,153.57142857142858,1.4938492063492064,95.28571428571429,70.85714285714286,33.142857142857146,0.8571428571428571,0.7857142857142857,0.7871428571428571,14,1,-2.5271475123975855,-0.29725863852066087
cortezia,196.6,2.047794612794613,131.06666666666666,75.73333333333333,37.2,1.1666666666666667,0.7333333333333333,1.12,30,2,1.3728932279985167,-1.9311588890984495
crashies,177.63636363636363,1.7876852945034762,119.02272727272727,71.18181818181819,35.27272727272727,0.6363636363636364,0.7954545454545454,0.9854545454545455,44,1,-0.5580099497776795,-1.1511367305982216
crazyguy,145.21428571428572,1.2645021645021646,104.85714285714286,66.35714285714286,23.785714285714285,0.35714285714285715,0.8571428571428571,0.777142857142857,14,1,-3.0690302292758043,0.3547762028381096
d4v41,184.875,1.6170994803807304,123.96875,69.96875,27.5,0.59375,0.96875,0.9925,32,1,-0.34743860728282067,-0.5312071250731786
doma,176.66666666666666,1.5296296296296295,124.66666666666667,74.0,29.333333333333332,0.8333333333333334,0.6666666666666666,1.0166666666666666,6,2,-0.1620284903348854,-1.113342745591583
f0rsakeN,217.0625,1.8815352182539682,139.5,73.5625,33.28125,0.96875,1.375,1.0625,32,2,1.693650754959689,-0.5785064227908003
free1ng,163.5,1.5319354256854256,107.77272727272727,67.72727272727273,37.25,0.9772727272727273,0.9772727272727273,0.889090909090909,44,1,-1.5705443082894381,0.1679153281881862
grubinho,163.15384615384616,1.4717338217338218,106.48,69.5,33.0,1.1538461538461537,1.0384615384615385,0.7942307692307692,26,1,-1.7837689522768003,0.46238574312325326
happywei,211.07142857142858,1.6867630385487529,143.07142857142858,68.85714285714286,38.714285714285715,1.0714285714285714,1.6428571428571428,1.0035714285714286,14,0,1.2713622944960066,0.7407853197944796
iZu,212.5,1.359887566137566,126.08333333333333,70.08333333333333,25.833333333333332,1.75,1.25,1.0425,12,0,1.1748662143505493,0.9802290473618336
jawgemo,235.25,1.6103986291486292,146.79166666666666,69.0,27.875,2.2083333333333335,1.5833333333333333,1.0933333333333333,24,0,2.8974565184963024,1.4932411110848052
johnqt,189.66666666666666,1.9152777777777779,119.66666666666667,78.83333333333333,32.5,0.4166666666666667,0.4166666666666667,1.1658333333333333,12,2,0.5943333402580272,-3.1324269824945015
kaajak,227.1818181818182,1.8264348656394112,144.8181818181818,71.47727272727273,35.27272727272727,2.159090909090909,1.3409090909090908,1.143409090909091,44,0,2.9872384169443134,0.40656452050034
kamo,186.64285714285714,1.141398680684395,123.0,63.214285714285715,32.857142857142854,1.5,2.5714285714285716,0.8842857142857142,14,0,-0.2595806355134979,3.6444379213724742
keiko,206.5,1.3368893011750154,133.07142857142858,70.21428571428571,38.214285714285715,1.3571428571428572,0.8571428571428571,1.0278571428571428,14,0,0.8354323175555622,0.30313028461109665
leaf,224.29166666666666,1.625571188071188,150.41666666666666,71.54166666666667,20.791666666666668,1.25,1.0,1.1120833333333333,24,2,2.215803280765034,-0.193585527573319
mada,214.63636363636363,1.4106264650382296,138.12121212121212,66.76470588235294,27.0,1.911764705882353,2.264705882352941,0.9885294117647059,34,0,1.632536645169165,2.733596919467292
nAts,189.42857142857142,1.4905612244897959,122.64285714285714,69.28571428571429,27.357142857142858,1.1428571428571428,1.1428571428571428,0.9564285714285715,14,1,-0.12361388921118831,0.4078902752351991
nephh,158.2,2.030515873015873,97.7,66.6,23.1,0.5,0.8,0.861,10,1,-2.284001074742978,-0.9881971364530631
nobody,165.1,1.503956043956044,110.6,68.0,30.4,0.5,0.8,0.9879999999999999,10,1,-1.426131784568871,-0.5353144955785096
paTiTek,153.5,1.3418109668109668,105.46153846153847,67.07142857142857,29.76923076923077,0.2857142857142857,0.5714285714285714,0.8028571428571428,14,1,-2.850240791005379,-0.25320518812607656
rushia,147.8,1.6331060606060608,99.2,63.6,28.3,0.6,1.0,0.708,10,1,-3.2413985382501944,0.5519640027850841
s0m,205.5,1.633476245976246,132.02941176470588,75.47058823529412,25.941176470588236,0.8823529411764706,1.1470588235294117,1.0141176470588233,34,2,0.9204986430259792,-0.6939766208958322
skuba,187.08823529411765,1.9684583390465742,121.5,76.88235294117646,32.205882352941174,0.6176470588235294,0.7058823529411765,1.0879411764705882,34,2,0.43652546671260384,-2.3543676406562573
something,224.03125,1.8005952380952381,142.625,72.4375,25.375,1.78125,1.5,1.1165625,32,0,2.6022222170176432,0.3143687386653692
stax,149.25,1.1698051948051948,99.66666666666667,65.83333333333333,37.583333333333336,0.3333333333333333,0.8333333333333334,0.7599999999999999,12,1,-3.309514925398496,0.5152115460986435
trent,177.58333333333334,1.6510717291967294,121.20833333333333,73.25,31.666666666666668,0.2916666666666667,0.9166666666666666,1.0125,24,1,-0.5242234777925435,-1.313633200944704
trexx,167.64285714285714,1.2905199958771387,114.71428571428571,62.5,20.214285714285715,0.42857142857142855,0.7142857142857143,0.9071428571428571,14,1,-2.008707771052024,0.49119018068517284
valyn,189.83333333333334,1.7390707671957673,122.58333333333333,75.875,26.875,1.0,0.8333333333333334,1.0245833333333334,24,2,0.4119632615522012,-1.313409591220791
westside,188.65384615384616,1.5271603396603397,119.23076923076923,68.88,40.23076923076923,0.8846153846153846,1.0384615384615385,0.9953846153846153,26,1,-0.29917859411810854,-0.03151503030442194
whzy,143.8,0.9596969696969697,92.7,61.4,30.444444444444443,1.0,1.8,0.577,10,1,-3.9376598765089703,3.2595354078864425
xenom,160.56666666666666,2.558471620971621,98.76666666666667,78.8,24.733333333333334,0.6,0.6666666666666666,1.0070000000000001,30,2,-0.7542366066603144,-3.561561355714314
xffero,162.71428571428572,1.336734693877551,107.57142857142857,65.64285714285714,30.642857142857142,1.1428571428571428,1.1428571428571428,0.8264285714285714,14,1,-1.8692892372098027,1.1518382120755615
zekken,233.5,1.4366672679172678,159.41666666666666,69.5,25.5,1.6666666666666667,2.1666666666666665,0.9824999999999999,12,0,2.5980726385741657,2.3055402966499665
